"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"4;3"
"2;2"
"-4;0"
"-10;0"
"15;32"
"33;1995"
"23;200"
"10;10"
"2;2"
"12;16"
"0;1"
"11;13"
"1;1"
"3;2"
"3;2"
"13;20"
"5;3"
"2;2"
"11;13"
"19;79"
"5;3"
"11;13"
"19;79"
"5;3"
"19;79"
